INECode,IdescatCode,Municipality,brand,province,x,y,beds,beds_by_apartment,Population,Income_Household,Income_Person,Perc_Foreing,Perc_Older65,Rental2020,Rental2019,Rental2018,Rental2017,Rental2016,Rental2015,rental_incr,Perc_TuristicHouseholds_INE,TuristicHousehold,SUP_MUNI,ORSUP_MUNI,airbnb,total_homesCat2011,DataHippo_numAirbnb_10m,perc_AirbnbOk
8206,082068,Sant Cugat Sesgarrigues,Costa Barcelona,Barcelona,366950.667879867,4595521.04434576,14.00,7.00,1009.00,36772.00,12717.00,9.12,19.60,642.67,504.89,417.50,568.75,555.71,,NA,0.49,2.00,"6,24",B,5,,6,NA
8207,082074,Sant Esteve de Palautordera,Costa Barcelona,Barcelona,448245.268395114,4624554.83024407,56.00,8.00,2864.00,41493.00,14736.00,10.65,13.60,679.04,612.61,630.75,623.08,588.08,510.79,32.94,0.5,7.00,"10,65",B,17,939,25,2.66
8208,082080,Sant Esteve Sesrovires,Costa Barcelona,Barcelona,355337.153520546,4641975.10178305,25.00,2.78,7696.00,42402.00,15179.00,9.73,15.00,778.47,806.28,769.38,774.47,662.86,666.91,16.73,0.27,9.00,"18,56",B,13,2232,15,0.67
8210,082107,Sant Feliu de Codines,Costa Barcelona,Barcelona,413404.725317151,4630361.58742373,91.00,8.27,6363.00,32034.00,12331.00,14.33,15.90,589.36,551.46,524.28,495.01,442.86,398.73,47.81,0.35,11.00,15,B,7,2533,10,0.39
8211,082114,Sant Feliu de Llobregat,Costa Barcelona,Barcelona,419211.482496812,4583907.52998644,34.00,03.09,45467.00,37265.00,13897.00,12.44,18.40,817.83,816.46,756.08,729.24,632.70,596.59,37.08,0.06,11.00,"11,82",B,30,16329,31,0.19
8209,082093,Sant Fost de Campsentelles,Costa Barcelona,Barcelona,384370.939418849,4636168.34460339,52.00,5.20,8853.00,41532.00,14221.00,6.86,17.70,807.96,818.88,829.91,749.17,709.12,721.10,12.05,0.3,10.00,"13,15",B,7,2926,12,0.41
8193,081939,Sant Iscle de Vallalta,Costa Barcelona,Barcelona,459858.782754435,4612941.31588475,70.00,7.78,1342.00,31098.00,11843.00,9.84,15.50,642.29,622.71,765.38,552.63,580.54,511.67,25.53,1.45,9.00,"17,77",B,12,476,26,5.46
8217,082172,Sant Joan Despí,Costa Barcelona,Barcelona,390177.696598509,4612941.31588475,71.00,2.73,34267.00,39846.00,14565.00,13.20,16.80,861.98,849.37,814.73,754.45,697.11,650.64,32.48,0.19,26.00,"6,17",B,21,12237,24,0.20
8221,082212,Sant Just Desvern,Costa Barcelona,Barcelona,419211.482496812,4589714.2871661,145.00,04.03,18670.00,54474.00,20152.00,15.86,18.30,1251.54,1092.02,1058.92,891.94,1003.18,941.59,32.92,0.48,36.00,"7,82",B,57,5851,71,1.21
8222,082227,Sant Llorenç d'Hortons,Costa Barcelona,Barcelona,395984.45377817,4595521.04434576,6.00,6.00,2428.00,36530.00,13846.00,8.90,14.90,575.44,579.13,509.23,544.06,473.04,467.37,23.12,0.08,1.00,"19,7",B,3,946,5,0.53
